rooms,area,municipality,is_furnished,actual_price_chf,predicted_price_chf,residual_chf,absolute_error_chf
5.5,232,Küsnacht (ZH),0,8500,3485.3,5014.7,5014.7
4.5,140,Zürich,0,9170,5610.3,3559.7,3559.7
4.5,140,Zürich,0,8990,5650.2,3339.8,3339.8
2.5,75,Zürich,0,6900,3865.3,3034.7,3034.7
2.0,54,Zürich,0,4853,2425.7,2427.3,2427.3
5.5,200,Winterthur,0,5600,3270.7,2329.3,2329.3
4.5,141,Zürich,0,3309,5620.1,-2311.1,2311.1
2.0,49,Zürich,0,4335,2354.4,1980.6,1980.6
6.5,151,Affoltern am Albis,0,4990,3309.3,1680.7,1680.7
4.5,107,Zürich,0,4860,3327.0,1533.0,1533.0
